variable,level,smd_unweighted,smd_weighted,analysis
chf,1,-0.01351680775809063,-0.023654352707861762,trajectory_dose_augmented
propofol_baseline_unit,inactive,-0.1033002880706495,-0.03334315468569905,trajectory_dose_augmented
propofol_baseline_unit,mcg/kg/min,0.10330028807064935,0.03334315468569882,trajectory_dose_augmented
midazolam_baseline_unit,inactive,0.044915291589023534,0.038579373051141445,trajectory_dose_augmented
midazolam_baseline_unit,mg/hour,-0.04491529158902338,-0.0385793730511414,trajectory_dose_augmented
dexmed_baseline_unit,inactive,0.017536072266460173,0.0029827346306352106,trajectory_dose_augmented
dexmed_baseline_unit,mcg/kg/hour,-0.01753607226646021,-0.002982734630634878,trajectory_dose_augmented
vasopressor_observed_prev6h,0.0,0.03397546172392839,0.03982282602014662,trajectory_dose_augmented
vasopressor_observed_prev6h,1.0,-0.03397546172392845,-0.03982282602014669,trajectory_dose_augmented
opioid_observed_prev6h,0.0,0.11542964969687793,0.019541043541036748,trajectory_dose_augmented
opioid_observed_prev6h,1.0,-0.11542964969687793,-0.019541043541036526,trajectory_dose_augmented
ketamine_observed_prev6h,0.0,0.045770715015550016,-0.012083369906412454,trajectory_dose_augmented
ketamine_observed_prev6h,1.0,-0.045770715015549496,0.01208336990641408,trajectory_dose_augmented
age,continuous,0.19701174288168857,0.06266154455076818,trajectory_dose_augmented_stay_balanced
grid_hour,continuous,-0.2759622476153986,-0.27737536591319323,trajectory_dose_augmented_stay_balanced
comorbidity_count,continuous,0.102676689452522,-0.016408512940564203,trajectory_dose_augmented_stay_balanced
map_median_2h,continuous,-0.026119802673123707,0.004513634025432743,trajectory_dose_augmented_stay_balanced
map_min_2h,continuous,-0.03287521370386563,0.009254335608921924,trajectory_dose_augmented_stay_balanced
heart_rate,continuous,0.0050081715669781715,0.017625309715051173,trajectory_dose_augmented_stay_balanced
fio2,continuous,0.011061278002925999,-0.004029252145971233,trajectory_dose_augmented_stay_balanced
peep,continuous,-0.2268613489146702,-0.13058815292861153,trajectory_dose_augmented_stay_balanced
rass,continuous,-0.038280868634947014,0.027411400458078303,trajectory_dose_augmented_stay_balanced
gcs_motor,continuous,-0.009187498555740038,0.05508667319909334,trajectory_dose_augmented_stay_balanced
icp_latest,continuous,-0.0847981064660906,-0.06921972607717335,trajectory_dose_augmented_stay_balanced
temperature_c,continuous,-0.06336530332512967,-0.013769917293886606,trajectory_dose_augmented_stay_balanced
lactate,continuous,0.018731887225529043,0.0397848821473929,trajectory_dose_augmented_stay_balanced
creatinine,continuous,-0.005947593232209468,-0.033844076786544074,trajectory_dose_augmented_stay_balanced
paco2,continuous,-0.026703724193532504,-0.01405769398124352,trajectory_dose_augmented_stay_balanced
pao2_fio2,continuous,0.04724201078762693,0.0898534819091044,trajectory_dose_augmented_stay_balanced
propofol_baseline_log_rate,continuous,0.12992229541099143,-0.0021690175546692516,trajectory_dose_augmented_stay_balanced
midazolam_baseline_log_rate,continuous,-0.0797762433997401,-0.07711550399148188,trajectory_dose_augmented_stay_balanced
dexmed_baseline_log_rate,continuous,-0.02057650249519098,-0.03929952153777224,trajectory_dose_augmented_stay_balanced
delta_map_median_6h,continuous,0.04072122914177534,0.019713442740954917,trajectory_dose_augmented_stay_balanced
delta_map_min_6h,continuous,0.04377806450906876,0.029247339773018213,trajectory_dose_augmented_stay_balanced
delta_heart_rate_6h,continuous,0.019241785102385126,0.025786253294096603,trajectory_dose_augmented_stay_balanced
delta_fio2_6h,continuous,-0.02776455240181013,-0.09859322196993296,trajectory_dose_augmented_stay_balanced
delta_peep_6h,continuous,-0.036247353835944233,0.0010223029412500105,trajectory_dose_augmented_stay_balanced
delta_rass_6h,continuous,-0.03141894070934249,0.013699616673964908,trajectory_dose_augmented_stay_balanced
delta_gcs_motor_6h,continuous,-0.005926236845475256,0.046870850857138706,trajectory_dose_augmented_stay_balanced
delta_gcs_eye_6h,continuous,0.010050075489936429,0.04330674045812855,trajectory_dose_augmented_stay_balanced
delta_gcs_verbal_6h,continuous,0.02430455120985689,0.004773265359290035,trajectory_dose_augmented_stay_balanced
delta_icp_latest_6h,continuous,-0.01227031099170361,0.009475700665080586,trajectory_dose_augmented_stay_balanced
delta_neuro_measure_count_6h,continuous,-0.0041233149231065715,-0.06724387089650577,trajectory_dose_augmented_stay_balanced
abi_subtype,AIS,-0.02150139799958509,-0.009783538280311933,trajectory_dose_augmented_stay_balanced
abi_subtype,ICH,0.023221703946205575,0.10455186188711496,trajectory_dose_augmented_stay_balanced
abi_subtype,SAH,0.00926094521331808,-0.011293230358860281,trajectory_dose_augmented_stay_balanced
abi_subtype,TBI,-0.004555274133968937,-0.07315801219383332,trajectory_dose_augmented_stay_balanced
gender,F,0.05824767991014884,0.07431526509958812,trajectory_dose_augmented_stay_balanced
gender,M,-0.05824767991014884,-0.07431526509958777,trajectory_dose_augmented_stay_balanced
baseline_drug_count,1,-0.08564980660290832,0.045321751053960094,trajectory_dose_augmented_stay_balanced
baseline_drug_count,2,0.08437959416600566,-0.0456566639551543,trajectory_dose_augmented_stay_balanced
baseline_drug_count,3,0.017098731107513785,0.002895895128231649,trajectory_dose_augmented_stay_balanced
propofol_active,0,-0.1033002880706495,-0.0523948834020803,trajectory_dose_augmented_stay_balanced
propofol_active,1,0.10330028807064935,0.05239488340208088,trajectory_dose_augmented_stay_balanced
midazolam_active,0,0.044915291589023534,0.0581464515421903,trajectory_dose_augmented_stay_balanced
midazolam_active,1,-0.04491529158902338,-0.05814645154218899,trajectory_dose_augmented_stay_balanced
dexmed_active,0,0.017536072266460173,0.04103381252852855,trajectory_dose_augmented_stay_balanced
dexmed_active,1,-0.01753607226646021,-0.04103381252852802,trajectory_dose_augmented_stay_balanced
vasopressor_observed,0,0.024895572731022046,0.04840902390366503,trajectory_dose_augmented_stay_balanced
vasopressor_observed,1,-0.02489557273102224,-0.04840902390366422,trajectory_dose_augmented_stay_balanced
opioid_observed,0,0.13810932278029558,0.05138328743335683,trajectory_dose_augmented_stay_balanced
opioid_observed,1,-0.13810932278029572,-0.05138328743335616,trajectory_dose_augmented_stay_balanced
diabetes,0,-0.0792023468722335,0.03327181911240362,trajectory_dose_augmented_stay_balanced
diabetes,1,0.0792023468722337,-0.0332718191124034,trajectory_dose_augmented_stay_balanced
ckd,0,-0.06600176943712349,-0.01570889592293592,trajectory_dose_augmented_stay_balanced
ckd,1,0.06600176943712355,0.015708895922936447,trajectory_dose_augmented_stay_balanced
chf,0,0.013516807758090636,-0.002883807626065294,trajectory_dose_augmented_stay_balanced
chf,1,-0.01351680775809063,0.002883807626066229,trajectory_dose_augmented_stay_balanced
propofol_baseline_unit,inactive,-0.1033002880706495,-0.0523948834020803,trajectory_dose_augmented_stay_balanced
propofol_baseline_unit,mcg/kg/min,0.10330028807064935,0.05239488340208088,trajectory_dose_augmented_stay_balanced
midazolam_baseline_unit,inactive,0.044915291589023534,0.0581464515421903,trajectory_dose_augmented_stay_balanced
midazolam_baseline_unit,mg/hour,-0.04491529158902338,-0.05814645154218899,trajectory_dose_augmented_stay_balanced
dexmed_baseline_unit,inactive,0.017536072266460173,0.04103381252852855,trajectory_dose_augmented_stay_balanced
dexmed_baseline_unit,mcg/kg/hour,-0.01753607226646021,-0.04103381252852802,trajectory_dose_augmented_stay_balanced
vasopressor_observed_prev6h,0.0,0.03397546172392839,0.02490169300949622,trajectory_dose_augmented_stay_balanced
vasopressor_observed_prev6h,1.0,-0.03397546172392845,-0.024901693009495886,trajectory_dose_augmented_stay_balanced
opioid_observed_prev6h,0.0,0.11542964969687793,0.06160541715518522,trajectory_dose_augmented_stay_balanced
opioid_observed_prev6h,1.0,-0.11542964969687793,-0.061605417155184555,trajectory_dose_augmented_stay_balanced
ketamine_observed_prev6h,0.0,0.045770715015550016,0.029587833181151477,trajectory_dose_augmented_stay_balanced
ketamine_observed_prev6h,1.0,-0.045770715015549496,-0.029587833181148913,trajectory_dose_augmented_stay_balanced
